Word,MorphStatus,Lang,ImmSA,ImmAllo,FlatClass,FlatSA,Flat,Class,SylCnt,StrsPat
accursed,O,,,,,,,A,3,x1x
accursedly,C,,SA,N,Ax,SA,accursed[A]+ly[B|A.][B],ADV,4,x1xx
accurst,O,,,,,,,A,2,x1
accusation,C,,SA,N,Vx,SA,accuse[V]+ation[N|V.][N],N,4,xx1x
accusative,Z,,S,N,Vxx,SAA,accuse[V]+ation[N|V.][N]+ive[A|N.][A][N],N,4,x1xx
accusative,C,,SA,N,Vxx,SAA,accuse[V]+ation[N|V.][N]+ive[A|N.][A],A,4,x1xx
accuse,M,,S,N,V,S,accuse[V],V,2,x1
accused,Z,,F,N,V,F,accused[V][A],A,2,x1
accused,Z,,S,N,V,F,accused[V][A][N],N,2,x1
accuser,C,,SA,N,Vx,SA,accuse[V]+er[N|V.][N],N,3,x1x
accusing,Z,,F,N,V,F,accusing[V][A],A,3,x1x
accusingly,C,,SA,N,Vx,FA,accusing[V][A]+ly[B|A.][B],ADV,4,x1xx
accustom,C,,AS,N,xN,AS,ac[V|.N]+custom[N][V],V,3,x1x
accustomed,Z,,F,N,V,F,accustomed[V][A],A,3,x1x
ace,M,,S,N,N,S,ace[N],N,1,1
acerbic,O,,,,,,,A,3,x1x
acerbity,C,,SA,N,Ax,SA,acerbic[A]+ity[N|A.][N],N,4,x1xx
acetate,O,,,,,,,N,3,1xx
acetic,O,,,,,,,A,3,x1x
acetic acid,C,,SS,N,AA,SS,acetic[A]+acid[A][N][N],N,5,xxx1x
acetyl,M,,S,N,N,S,acetyl[N],N,3,1xx
acetylene,C,,SA,N,Nx,SA,acetyl[N]+ene[N|N.][N],N,4,x1xx
ache,Z,,S,N,V,S,ache[V][N],N,1,1
ache,M,,S,N,V,S,ache[V],V,1,1
achievable,C,,SA,N,Vx,SA,achieve[V]+able[A|V.][A],A,4,x1xx
achieve,M,,S,N,V,S,achieve[V],V,2,x1
achievement,C,,SA,N,Vx,SA,achieve[V]+ment[N|V.][N],N,3,x1x
Achilles,I,,,,,,,N,3,x1x
Achilles' heel,C,,SS,N,NN,SS,Achilles[N]+heel[N][N],N,4,xxx1
Achilles tendon,C,,SS,N,NN,SS,Achilles[N]+tendon[N][N],N,5,xxx1x
achoo,I,,,,,,,I,2,x1
acid,Z,,S,N,A,S,acid[A][N],N,2,1x
