Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
train,18,18,4,1.71,4848
fair,18,18,5.67,1.91,4832
worried,20,20,6.65,2.39,4831
security,18,18,8.06,2.48,4810
cover,19,19,5.42,2.95,4808
bag,18,18,4.28,1.56,4796
terrible,18,18,5.56,1.92,4795
song,19,19,4.26,1.73,4778
spend,18,18,6.44,2.5,4757
horse,20,20,4.15,1.46,4737
ring,19,19,4.53,1.87,4730
sell,19,19,7.05,2.53,4705
return,18,18,5.61,1.79,4676
personal,19,19,8.05,3.34,4675
message,19,19,6.32,2.31,4667
system,20,20,9.9,2.27,4667
afternoon,20,20,4.65,1.93,4666
tough,19,19,5.47,1.5,4616
quit,19,19,5.26,2.18,4595
count,18,18,2.61,0.98,4588
box,20,20,4.3,1.66,4577
present,18,18,4.83,2.01,4562
charge,20,20,7.5,3.2,4559
information,21,21,7.19,1.97,4557
fool,18,18,7.56,3.05,4556
simple,18,18,6.89,2.25,4555
calm,19,19,6.26,2.18,4541
surprise,19,19,5.47,2.01,4534
dark,19,19,3.74,1.37,4519
swear,19,19,7.21,2.9,4496
land,18,18,5.22,2.69,4494
cute,19,19,4.26,1.45,4475
master,18,18,6.5,2.38,4450
dress,19,19,4.05,1.61,4447
key,19,19,3.58,1.54,4430
strong,19,19,4.58,1.87,4430
fix,18,18,5,1.88,4426
interesting,20,20,6.95,1.96,4421
strange,19,19,6.42,1.77,4408
rock,18,18,3.22,1.17,4394
voice,18,18,4.83,1.54,4394
cop,18,18,4.94,1.3,4393
window,19,19,4.74,2.47,4386
bar,21,21,6.9,2.62,4385
interested,18,18,8.83,2.62,4374
appreciate,20,20,8.8,3.19,4373
army,20,20,7.15,2.08,4370
short,19,19,4.32,1.73,4367
record,20,20,6.3,2.6,4365
card,20,20,6.2,2.26,4357
certain,20,20,8.2,2.48,4354
college,19,19,8.37,2.39,4344
fly,19,19,3.05,1.18,4335
evidence,19,19,10.58,2.83,4335
bank,18,18,6.44,2.41,4334
test,19,19,6.26,1.45,4288
history,19,19,6.42,1.77,4280
born,19,19,4.68,1.97,4268
proud,18,18,5.44,1.58,4265
fish,19,19,4.05,1.61,4258
join,18,18,5.83,1.38,4255
lead,21,21,6.76,3.42,4246
smell,18,18,4.22,1.44,4240
apartment,20,20,7.8,2.78,4235
enjoy,20,20,5.75,2.17,4222
letter,19,19,4.74,1.45,4213
situation,19,19,9.26,2.75,4207
trip,18,18,4.22,1.9,4202
store,21,21,4.76,1.92,4178
amazing,18,18,5.22,2.1,4167
star,19,19,3.89,1.59,4149
accident,20,20,5.3,2.18,4146
imagine,18,18,6.06,1.55,4133
doc,19,17,8.53,4.93,4122
pleasure,19,19,8.21,2.37,4118
ought,18,16,9.62,2.63,4118
list,19,19,5.58,2.32,4110
rich,19,19,6.32,2.14,4100
service,19,19,8,2,4076
entire,18,18,7.22,2.39,4070
difference,18,17,7.35,2.76,4066
judge,20,20,8.85,2.66,4063
ice,21,21,3.86,1.06,4057
lawyer,18,18,7.78,2.26,4055
fat,20,20,5.15,1.84,4051
age,21,21,4.38,1.36,4039
station,19,19,7.11,1.76,4033
realize,22,22,8.23,2.29,4032
gold,20,20,7.1,2.13,4026
seat,19,19,4.58,1.92,4018
hundred,19,19,5.47,1.9,4015
summer,18,18,4.33,1.68,4012
angel,19,19,4,1.29,3992
mess,18,18,4.28,1.45,3985
chief,19,19,7.53,2.86,3973
radio,18,18,5.17,1.54,3936
hungry,19,19,3.63,1.5,3931
marriage,18,18,7.17,3.37,3930
brain,21,21,5.76,2.19,3928
soul,18,18,6.17,2.38,3925
forgive,18,18,5.44,1.54,3917
drunk,19,19,9.26,3.31,3904
deep,19,19,5.47,2.46,3896
girlfriend,19,19,6.26,2.96,3881
slow,20,20,4.15,1.76,3877
private,19,19,6.16,2.85,3874
attack,19,19,6.58,2.32,3853
beer,18,18,6.11,2.68,3850
partner,20,20,5.85,1.93,3836
area,19,19,6.58,2.32,3821
dangerous,20,20,5.6,2.6,3817
offer,21,21,7.48,2.58,3810
scene,18,18,8.17,3.84,3807
upset,19,19,5.26,2,3800
bus,20,20,3.85,1.57,3783
owe,18,18,8.61,3.66,3782
group,18,18,5.94,1.89,3762
kick,18,18,4.06,1.73,3744
evil,21,21,6.71,2.99,3731
joke,20,20,5.2,1.88,3724
truck,19,19,3.79,1.47,3716
teach,18,18,4.67,1.64,3715
ground,18,18,4.89,2.3,3696
green,19,19,3.79,1.32,3696
cash,19,19,4.84,2.61,3694
honest,1926,1924,5.46,2.05,3689
boyfriend,19,19,6.89,2.45,3684
park,19,19,4.47,1.87,3678
position,18,18,8.72,3.54,3676
single,19,19,6.68,2.19,3676
respect,20,20,8.5,3.46,3644
crime,18,18,7.67,3.2,3633
public,19,19,8.47,2.5,3625
mommy,20,20,2.5,1.5,3617
congratulations,20,20,7.25,2.17,3616
grab,19,19,5.37,2.31,3614
art,19,19,6.21,2.32,3611
favor,19,18,6.94,2.34,3609
wall,19,19,3.79,1.75,3605
force,18,18,6,1.78,3604
jail,19,19,5.74,2.45,3602
push,19,19,4.26,1.85,3598
prove,19,19,7.84,2.59,3590
normal,19,19,5.53,1.93,3589
machine,19,19,6.53,2.25,3583
protect,19,19,6.79,1.75,3583
field,20,20,6.1,2.38,3580
jump,19,19,2.84,1.3,3561
nose,20,20,2.95,1.15,3557
hide,19,19,4.47,2.14,3554
sun,20,20,3.4,1.64,3553
church,20,20,5.15,1.76,3553
peace,19,19,6.32,2.52,3550
professor,19,19,10.89,4.77,3548
share,19,19,4.84,1.86,3545
bullshit,19,19,10,4.18,3537
thousand,20,20,6.6,2.09,3534
fear,19,19,4.79,1.93,3523
tape,19,19,4.42,1.43,3511
suit,18,18,6.67,2.2,3499
pictures,18,18,5.11,2.03,3477
holy,20,20,5.55,2.24,3475
gas,19,19,5.32,1.97,3457
relationship,19,19,9.11,2.9,3452
bother,18,18,6.5,2.46,3436
nervous,19,19,6.79,2.35,3425
round,20,20,4.75,2.05,3393
dirty,20,20,4.55,2.21,3389
cat,22,22,3.68,1.52,3383
breakfast,19,19,3.47,1.81,3381
idiot,20,20,6.5,1.85,3377
space,18,18,5.67,1.91,3369
prison,18,18,7.5,1.95,3368
carry,19,19,5.16,2.43,3361
cry,18,18,2.78,1.66,3348
bastard,20,20,10.45,3.53,3348
smoke,18,18,4,1.5,3337
arm,19,19,3.26,1.56,3336
film,19,19,6.95,2.57,3328
government,18,18,8.5,1.89,3327
tree,1923,1923,3.57,1.61,3315
foot,18,18,3.44,1.38,3311
contact,18,18,7.78,2.62,3305
knock,19,19,4.63,2.06,3299
agree,19,19,7.68,2.36,3298
pardon,18,18,7.83,2.31,3297
gift,19,19,5.05,1.87,3290
south,18,18,6.06,2.15,3288
hat,18,18,3.33,1.14,3273
sake,19,19,8.74,3.36,3272
board,19,19,6.37,1.8,3272
sweetheart,19,19,6.26,3.09,3272
north,20,20,6.55,1.85,3258
department,19,19,9.84,3.53,3256
patient,19,19,7.05,2.09,3246
awful,19,19,6.26,2.51,3234
sad,21,21,3.24,2.21,3232
roll,19,19,4.47,2.12,3227
beginning,20,20,5.4,1.67,3219
grand,19,19,6.68,2.31,3214
sergeant,18,18,9,2.95,3210
killer,21,21,6.48,1.94,3206
laugh,19,19,3.79,1.51,3206
doubt,19,19,8.79,3.26,3205
double,19,19,5.58,1.3,3198
guilty,19,19,8.05,2.63,3177
race,20,20,6,2.62,3157
crap,18,18,6.5,2.57,3151
chicken,19,19,3.26,1.73,3148
bathroom,19,19,3,1.41,3145
asshole,21,21,9.52,3.7,3142
spot,18,18,5.39,2.66,3140
weekend,19,19,4.79,1.44,3118
detective,19,19,6.58,1.8,3117
sheriff,18,18,6,1.88,3115
action,18,18,6.67,2.83,3115
glass,19,19,4.47,1.65,3096
type,19,19,6.58,2.46,3093
experience,19,19,8.95,2.25,3088
west,18,18,5.89,2.56,3088
wine,20,20,7.9,2.95,3078
press,20,20,6.4,2.89,3070
difficult,20,20,5.85,2.3,3068
rid,20,19,6.79,2.3,3052
sea,19,19,4.74,1.56,3052
flight,19,19,7.47,4.15,3044
arrest,19,19,7.47,2.46,3037
neck,19,19,3,1.25,3035
grow,19,19,4.79,1.93,3034
mention,18,18,8.06,2.65,3033
favorite,18,18,5.72,2.44,3032
wind,19,19,3.89,1.37,3028
notice,20,20,7.35,2.56,3022
admit,18,18,7.56,2.23,3019
extra,19,19,6.11,2.05,3017
low,20,20,4.7,1.22,3016
impossible,19,19,7.32,2.58,3015
gay,19,19,9.32,2.31,3013
computer,20,20,9.7,6.04,3011
angry,20,20,4.45,1.9,3008
bunch,18,18,4.89,1.78,3003
blame,21,21,6.48,1.89,2998
visit,19,19,5.79,2.32,2993
tea,19,19,5.47,2.39,2990
clock,19,19,4.42,1.46,2990
fellow,19,19,8.89,2.49,2987
kitchen,19,19,3.68,1.11,2974
hole,19,19,5.05,2.17,2969
guard,20,20,6.25,2.07,2968
smile,1930,1930,3.51,1.72,2958
fit,19,19,5.74,1.66,2937
pal,19,19,5.74,2.54,2937
bear,19,19,3.58,1.68,2928
wild,19,19,6.11,2.51,2923
silly,18,18,4.17,1.54,2912
camera,18,18,6,1.71,2907
begin,19,19,4.84,1.42,2906
reach,19,19,4.89,2.79,2903
beach,20,20,4.8,1.54,2888
heaven,18,18,4.22,1.4,2887
lock,19,19,5.74,2.28,2885
leg,18,18,3,1.5,2882
track,18,18,6.94,2.8,2843
teacher,22,22,4.55,1.14,2842
ridiculous,19,19,7,1.83,2836
river,20,20,4.9,1.62,2829
dare,19,19,6.63,2.22,2826
burn,18,18,4.72,1.87,2816
raise,18,18,6.72,2.72,2815
aunt,20,20,3.8,1.61,2815
decision,21,21,7.57,2.25,2808
surprised,19,19,6.63,2.87,2808
cross,19,19,4.74,1.76,2807
cost,21,21,5.67,1.88,2801
queen,19,19,4.42,1.57,2789
innocent,19,19,5.95,1.96,2780
fresh,18,18,6.22,1.86,2780
emergency,18,18,5.94,2.41,2776
medical,19,19,8.68,1.86,2774
cell,20,20,10,2.29,2772
bomb,19,19,8,2.49,2736
note,20,20,6.4,1.57,2731
shop,18,18,5.78,1.86,2731
sweetie,20,20,6.55,2.93,2731
band,19,19,6.16,2.54,2724
price,20,20,7.35,2.78,2722
steal,18,18,6.17,2.09,2720
waste,18,18,6.5,1.69,2716
client,20,20,12.05,3.3,2715
pressure,19,19,8.95,2.66,2709
code,20,19,8.11,2.79,2709
rose,19,19,6.11,2.33,2704
dick,18,18,10.89,2.99,2703
accept,19,19,6.74,2.08,2692
excellent,19,19,7.37,1.98,2688
magic,21,21,5.52,1.94,2687
corner,19,19,5.21,2.07,2679
consider,18,18,9.33,2.57,2676
copy,18,18,6.06,2.34,2666
address,20,20,5.15,1.57,2666
warm,20,20,4.65,1.79,2659
pregnant,21,21,6.76,2.05,2653
hall,20,20,5.35,2.16,2649
treat,18,18,4.61,2.03,2646
complete,19,19,6.58,2.63,2636
cup,21,21,3.57,1.99,2634
level,18,18,6,1.37,2633
witness,19,19,8.74,2.79,2621
taste,19,19,4.26,1.76,2617
motherfucker,19,19,9.74,5.11,2616
camp,18,18,5.78,1.73,2612
beg,18,18,5.78,2.32,2600
duty,20,20,7.15,2.06,2599
interest,19,19,7.37,2.83,2598
bottle,18,18,3.56,1.79,2588
support,19,19,8.53,2.48,2587
decide,20,20,7.2,2.57,2571
moon,18,18,4.83,2.31,2548
bottom,18,18,5.28,2.08,2546
conversation,19,19,7.79,2.66,2543
hero,19,19,6.47,2.99,2542
asleep,19,19,4.47,1.68,2541
final,19,19,6.58,3.13,2533
continue,19,19,7.53,2.63,2527
east,18,18,6.94,3.56,2527
match,18,18,5.72,1.87,2521
