"word","morphs","pos","lexdec","aoa","conc","freq"
"revise",2,"VB",676.57,11.67,2.33,44
"cultivation",3,"NN",868.97,11.63,3.13,8
"diligent",2,"JJ",684.76,11.78,1.69,40
"confederate",3,"NN",875.74,10.1,3.27,95
"markup",2,"NN",719.13,12.53,2.7,8
"petroleum",2,"NN",794.15,11.11,4.69,64
"period",1,"NN",581.78,6.78,3.31,1417
"memorialize",4,"VB",1006.63,11.42,2.47,7
"sleigh",1,"NN",698.03,6,4.71,167
"chivalrous",2,"JJ",794.76,11.95,2.04,18
"carnivorous",3,"JJ",827.93,9.67,2.85,26
"gratitude",2,"NN",680.52,8.26,2.56,395
"spectrum",2,"NN",675.32,12.2,2.97,110
"cancerous",2,"JJ",948.83,11.78,3.1,13
"underpay",2,"VB",794.19,11.32,2.5,3
"daylight",2,"NN",671.47,4.94,4.1,488
"teeny",1,"JJ",827.95,5.42,3.17,128
"retrial",3,"NN",932.64,13.06,2.78,21
"meddlesome",2,"JJ",883.53,11.11,1.79,18
"abnormal",3,"JJ",684.91,10.05,2.14,148
"unpopular",3,"JJ",704,8.2,2.07,66
"alteration",2,"NN",757.63,10.17,3.21,36
"cleverness",2,"NN",692.94,7.75,2.07,26
"choice",1,"NN",550.88,5.17,1.9,4975
